Informant,Project,Sex,Age,Ethnicity ,Education level,Occupation,Town/City,County,State,Latitude,Longitude,Fieldworker,Year interviewed,Notes,Formatted_Informant,Target: attic,Target comments
CT30,LANE,Male,44,White,No formal schooling,Farmer,Weston,Fairfield,CT,41.2256,-73.3706,"Hanley, Miles L.",1931-33,,CT030,attic,sug. olden people used to call it garret
CT32,LANE,Male,65,White,At least some high school,Craftsman or foreman,Old Saybrook,Middlesex,CT,41.2939,-72.3825,"Kurath, Hans",1931-33,,CT032,"attic, garret",attic 'the usual word.' garret older word; c. father always called it garret
CT33,LANE,Male,79,White,Between 1 and 8 years,Farmer,Killingworth,Middlesex,CT,41.3805,-72.5763,"Kurath, Hans",1931-33,,CT033,"attic, garret",garret 'my usual expression'; 'years ago garret; I say garret'
CT34,LANE,Male,92,White,Between 1 and 8 years,Farmer,Old Saybrook,Middlesex,CT,41.2939,-72.3825,"Kurath, Hans",1931-33,,CT034,garret,
CT39,LANE,Male,60,White,Between 1 and 8 years,"Manager, official, or proprietor",Middletown,Middlesex,CT,41.5622,-72.6508,"Kurath, Hans",1931-33,,CT039,"attic, garret",garret: 'I use it occasionally'
CT40,LANE,Male,60,White,At least some high school,Farmer,Middletown,Middlesex,CT,41.5622,-72.6508,"Kurath, Hans",1931-33,,CT040,garret,in an old house like this'
CT41,LANE,Male,68,White,Between 1 and 8 years,Farmer,Middletown,Middlesex,CT,41.5622,-72.6508,"Kurath, Hans",1931-33,,CT041,"attic, garret",garret: 'old word; always say attic now'
CT43,LANE,Male,77,White,Between 1 and 8 years,Farmer,Weston,Fairfield,CT,41.2256,-73.3706,"Hultzen, Lee S.",1931-33,,CT043,garret,
CT60,LANE,Male,71,White,Between 1 and 8 years,Farmer,Southbury,New Haven,CT,41.4736,-73.2342,"Hanley, Miles L.",1931-33,,CT060,"garret, the attic","garret, I call it; some call it the attic"
CT62,LANE,Male,70,White,Between 1 and 8 years,Farmer,Madison (East River),New Haven,CT,41.3378,-72.6294,"Kurath, Hans",1931-33,,CT062,"garret, sug. attic",garret: 'no other word'; sug. Attic: 'might say it'
CT69,LANE,Male,75,White,Between 1 and 8 years,Farmer,Wallingford,New Haven,CT,41.4564,-72.8042,"Kurath, Hans",1931-33,,CT069,"garret, attic",attic more common around younger people
CT92,LANE,Male,77,White,At least some college or beyond,Professional or technical job,Farmington,Hartford,CT,41.7278,-72.8403,"Hanley, Miles L.",1931-33,,CT092,attic,sug. garret was the old term. Don't hear it anymore.
CT103,LANE,Male,92,White,Between 1 and 8 years,Craftsman or foreman,Winchester,Litchfield,CT,41.9225,-73.0697,"Hanley, Miles L.",1931-33,,CT103,"attic, garret","attic within fifty years, perhaps less than that."
CT109,LANE,Male,78,White,At least some high school,Professional or technical job,Hartland,Hartford,CT,42.005,-72.9481,"Hanley, Miles L.",1931-33,,CT109,"catch all, attic","! I guess catch-all. Re: attic: [the city people have got us into it in the last ten, fifteen years, we always said garret. City people put beds in]"
CT112,LANE,Male,47,White,Between 1 and 8 years,Farmer,Farmington,Hartford,CT,41.7278,-72.8403,"Hanley, Miles L.",1931-33,,CT112,"attic, garret",garret's the old timer.
CT113,LANE,Female,76,White,Between 1 and 8 years,Farmer,Winchester (Winstead),Litchfield,CT,41.9225,-73.0697,"Hanley, Miles L.",1931-33,"LH age = 56; 76 circled w/""wrong in LH"" above it",CT113,garret,"we call that the garret, here it isn't made into a chamber"
CT126,LANE,Male,80,White,"honorary MA, no college edu",Professional or technical job,Hartford,Hartford,CT,41.7627,-72.6743,"Kurath, Hans",1931-33,"Honorary MA, no college education",CT126,"attic, sug. garret",attic: you can see the rafters; garret: not now
CT133,LANE,Male,30,White,At least some high school,"Manager, official, or proprietor",Hartford,Hartford,CT,41.7627,-72.6743,"Kurath, Hans",1931-33,,CT133,"attic, the attic",up in the attic
CT139,LANE,Male,75,White,Between 1 and 8 years,Craftsman or foreman,New Haven,New Haven,CT,41.31,-72.9236,"Kurath, Hans",1931-33,,CT139,"garret, attic","garret older; attic room, this now in home [pron. note]"
CT142,LANE,Male,80,White,Between 1 and 8 years,Clerical or sales position,Hartford,Hartford,CT,41.7627,-72.6743,"Kurath, Hans",1931-33,,CT142,"attic, garret","garret old, rural"
CT160,LANE,Female,45,White,At least some high school,Teacher,New Haven,New Haven,CT,41.31,-72.9236,"Kurath, Hans",1931-33,,CT160,attic,it's up garret'
